user,rating,review
세종,2,박서준도 참.. 할리우드라니까 지가 뭔 역할할지도 모르면서 덥석 물었나보네..ㅋ 박서준도 서양인들 옆에 있으니까 옆모습 판판하더라 ㅋㅋ 우리나라는 수현 외엔 마블에서 성공한 배우는 없다고 봐야할 듯
조각배,5,"뭐 이제 마블은 기대도 안한다.
다행히 토르만큼 유치하지는 않네.
그넘의 평행우주는 언제까지 우려먹을지...
이영화 투자자가 인도회사일꺼같은 느낌ㅋㅋ"
다크매직,1,한국배우들아 헐리웃이라고 막 싸인하지 말자
레토나,1,"페미든 PC든 뭐든 관심없고

영화는 재미있어야 한다.

근데 이건 졸 노잼"
AbataceptIpilimumabIgG1,1,한국만 그런게 아니라 세상 사람들이 다 재미없대. 그래서 흥행수익 MCU 개봉작 중 꼴찌래. 다 싫다는데 아직도 왜 재미없는지 궁금??
김태훈,3,이미 틀린 마블이 고치려는 마음도 없는 영화
빙구,2,자~~로다주 살리고 다시 시작하자
비토,10,평잼 별테할 정도는 아님
모비딕,4,마블팬이지만 도대체 스토리가 개연성이 없다.
밀리언달러,1,"요즘 제작되는 영화나 드라마는 PC가 무슨 의무조항처럼 들어간다
진짜 구역질나서 못보겠다
오바이트 쏠리는 PC의 3대 테마는
1) 무조건적인 동성애 찬양: 동성애를 반대하거나 비토하면, 이건 뭐 중세 마녀사냥식 조리돌림을 한다
2) 극단적인 남혐의 페미니즘: 하이힐에 진한 메이크업에 야시시한 노출옷에 입으로만 ""걸스 캔 두 애니씽""을 불러제끼며, 남자들을 무조건 무시하고 적대시한다
3) 인종적 편견: 이제 주인공이 되려면 남녀불문 깜둥이여야 유리하다 황인종은 착하지만 별볼일없는 조연, 백인들은 최종빌런 아니면 악당 졸개들이고, 선한 역이라해봤자 깜둥이 주인공 빽그라운드 역할 하다가 조기에 끔살 당하는 스승이나 보스 역할로 나온다
전에는 깜둥이들 야만적이고 무식하게 그리지못해서 안달이더니
진짜 웃기는짬뽕들이다"
세종,2,박서준도 참.. 할리우드라니까 지가 뭔 역할할지도 모르면서 덥석 물었나보네..ㅋ 박서준도 서양인들 옆에 있으니까 옆모습 판판하더라 ㅋㅋ 우리나라는 수현 외엔 마블에서 성공한 배우는 없다고 봐야할 듯
조각배,5,"뭐 이제 마블은 기대도 안한다.
다행히 토르만큼 유치하지는 않네.
그넘의 평행우주는 언제까지 우려먹을지...
이영화 투자자가 인도회사일꺼같은 느낌ㅋㅋ"
다크매직,1,한국배우들아 헐리웃이라고 막 싸인하지 말자
레토나,1,"페미든 PC든 뭐든 관심없고

영화는 재미있어야 한다.

근데 이건 졸 노잼"
AbataceptIpilimumabIgG1,1,한국만 그런게 아니라 세상 사람들이 다 재미없대. 그래서 흥행수익 MCU 개봉작 중 꼴찌래. 다 싫다는데 아직도 왜 재미없는지 궁금??
김태훈,3,이미 틀린 마블이 고치려는 마음도 없는 영화
빙구,2,자~~로다주 살리고 다시 시작하자
비토,10,평잼 별테할 정도는 아님
모비딕,4,마블팬이지만 도대체 스토리가 개연성이 없다.
밀리언달러,1,"요즘 제작되는 영화나 드라마는 PC가 무슨 의무조항처럼 들어간다
진짜 구역질나서 못보겠다
오바이트 쏠리는 PC의 3대 테마는
1) 무조건적인 동성애 찬양: 동성애를 반대하거나 비토하면, 이건 뭐 중세 마녀사냥식 조리돌림을 한다
2) 극단적인 남혐의 페미니즘: 하이힐에 진한 메이크업에 야시시한 노출옷에 입으로만 ""걸스 캔 두 애니씽""을 불러제끼며, 남자들을 무조건 무시하고 적대시한다
3) 인종적 편견: 이제 주인공이 되려면 남녀불문 깜둥이여야 유리하다 황인종은 착하지만 별볼일없는 조연, 백인들은 최종빌런 아니면 악당 졸개들이고, 선한 역이라해봤자 깜둥이 주인공 빽그라운드 역할 하다가 조기에 끔살 당하는 스승이나 보스 역할로 나온다
전에는 깜둥이들 야만적이고 무식하게 그리지못해서 안달이더니
진짜 웃기는짬뽕들이다"
